code,location,infant,time_point,trimmed_seq_depth_bp,assembly_length,campaign
N2_071_023G1,infant_gut,N2_071,23,3163015414,22318089,NIH2
N2_071_025G1,infant_gut,N2_071,25,3717540576,27465334,NIH2
N2_071_027G1,infant_gut,N2_071,27,2179209486,29623014,NIH2
N2_071_029G1,infant_gut,N2_071,29,5243940336,30969074,NIH2
N2_071_030G1,infant_gut,N2_071,30,5130604270,35451865,NIH2
N2_088_008G1,infant_gut,N2_088,8,4529645910,24656125,NIH2
N2_088_010G1,infant_gut,N2_088,10,2802645550,12572390,NIH2
N2_088_013G1,infant_gut,N2_088,13,5309693082,16694329,NIH2
N2_088_015G1,infant_gut,N2_088,15,3120101852,19411606,NIH2
N2_088_018G1,infant_gut,N2_088,18,2839937866,19512323,NIH2
N2_088_022G1,infant_gut,N2_088,22,3822277566,29246834,NIH2
N2_088_027G1,infant_gut,N2_088,27,2910272028,26307148,NIH2
N2_088_034G1,infant_gut,N2_088,34,3695478334,29021971,NIH2
N2_088_042G1,infant_gut,N2_088,42,2947869286,41464547,NIH2
N2_093_007G1,infant_gut,N2_093,7,4618446034,20632363,NIH2
N2_093_008G1,infant_gut,N2_093,8,3858789674,15720418,NIH2
N2_093_008G2,infant_gut,N2_093,8,3828302974,16510601,NIH2
N2_093_009G1,infant_gut,N2_093,9,2661466838,12496637,NIH2
N2_093_010G1,infant_gut,N2_093,10,2351080682,5387371,NIH2
N3_172_026G1,infant_gut,N3_172,26,3130711948,21045648,NIH3
N3_172_030G1,infant_gut,N3_172,30,3122687240,22608616,NIH3
N3_172_032G1,infant_gut,N3_172,32,2946253936,26120036,NIH3
N3_172_050G1,infant_gut,N3_172,50,3170553762,4918779,NIH3
N3_172_051G1,infant_gut,N3_172,51,2937369354,8576216,NIH3
N3_172_052G1,infant_gut,N3_172,52,2376661530,5045257,NIH3
N3_172_052G2,infant_gut,N3_172,52,2804499880,7312738,NIH3
N3_172_053G1,infant_gut,N3_172,53,2830174398,19983490,NIH3
N3_172_070G1,infant_gut,N3_172,70,2868740782,8755092,NIH3
N3_173_016G1,infant_gut,N3_173,16,3209787656,35078623,NIH3
N3_173_017G1,infant_gut,N3_173,17,2993594166,15382366,NIH3
N3_173_019G1,infant_gut,N3_173,19,3180732514,37589473,NIH3
N3_173_021G1,infant_gut,N3_173,21,2839602376,39385633,NIH3
N3_173_022G1,infant_gut,N3_173,22,3314537306,40387395,NIH3
N3_173_039G1,infant_gut,N3_173,39,3065689294,18479013,NIH3
N3_174_015G1,infant_gut,N3_174,15,3252526390,20861483,NIH3
